nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgatt;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
9959301;1144530;99593;Villa di Capezzana;;250.00;;750.00;333.33;07/04/2017;0;Rött vin;Stramt & Nyanserat;;Flaska;Naturkork;Toscana;Italien;Tenuta di Capezzana;AB Wicked Wine Sweden;2006;;14.00%;TSE;Små partier;0;0;;0;80% sangiovese och 20% cabernet sauvignon.
7711601;1144533;77116;Crémant de Bourgogne;Brut Tradition;160.00;;750.00;213.33;11/10/2016;0;Mousserande vin;Vitt Torrt;;Flaska;;Bourgogne;Frankrike;Domaine Fichet;Vino Vincent;;;12.00%;BS;Övrigt sortiment;0;0;;0;
7035701;1144536;70357;Mâcon-Villages;La Crépillionne;150.00;;750.00;200.00;11/10/2016;0;Vitt vin;;;Flaska;;Bourgogne;Frankrike;Domaine Fichet;Vino Vincent;2015;;12.50%;BS;Övrigt sortiment;0;0;;0;
8670201;1144562;86702;Dos Mas;Pink Shot;149.00;;700.00;212.86;07/10/2016;0;Likör;Frukt- och bärlikör;;Flaska;;;Tyskland;MBG Global Brands GmbH;TOMP Beer Wine & Spirits AB;;;17.00%;BS;Övrigt sortiment;0;0;;0;
8623901;1144579;86239;Dos Mas;Mex Shot;169.00;;700.00;241.43;07/10/2016;0;Likör;Krydd- och örtlikör;;Flaska;;;Tyskland;MBG Global Brands GmbH;TOMP Beer Wine & Spirits AB;;;20.00%;BS;Övrigt sortiment;0;0;;0;
7080401;1144636;70804;Château London;Domaine Fichet;166.00;;750.00;221.33;11/10/2016;0;Vitt vin;;;Flaska;;Bourgogne;Frankrike;Domaine Fichet;Vino Vincent;2014;;13.50%;BS;Övrigt sortiment;0;0;;0;
7084201;1144820;70842;Mâcon Rosé;Domaine Fichet;130.00;;750.00;173.33;11/10/2016;0;Rosévin;;;Flaska;;Bourgogne;Frankrike;Domaine Fichet;Vino Vincent;2015;;12.00%;BS;Övrigt sortiment;0;0;;0;
8612202;1144872;86122;Hernö;Blackcurrant;375.00;;500.00;750.00;11/10/2016;0;Gin;;;Flaska;;Västernorrlands län;Sverige;Hernö Gin;Hernö Gin AB;;;28.00%;BS;Övrigt sortiment;1;0;;0;
7000801;1144940;70008;Popolo Rosso;Organico;69.00;;1000.00;69.00;12/10/2016;0;Rött vin;Fruktigt & Smakrikt;;Papp;Plastkork/syntetkork;;Italien;Vino Veritas;Iconic Wines;2015;;12.00%;FSB;Ordinarie sortiment;1;0;;0;
7090406;1144946;70904;Châteauneuf-du-Pape;Domaine de la Charbonnière;820.00;;1500.00;546.67;12/10/2016;0;Vitt vin;;;Magnum;;Rhonedalen;Frankrike;Domaine de la Charbonnière;Fullersta Vineyards Handelsbolag;2014;;14.00%;BS;Övrigt sortiment;0;0;;0;
7066301;1144949;70663;Nicoleo;;163.00;;750.00;217.33;12/10/2016;0;Vitt vin;;;Flaska;;Toscana;Italien;Podernuovo a Palazzone;Doriani Wines AB;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
7168901;1144955;71689;Pouilly-Sur-Loire;Domaine Champeau;170.00;;750.00;226.67;12/10/2016;0;Vitt vin;;;Flaska;;Bourgogne;Frankrike;Domaine Champeau;Boucarou Wine & Dine AB;2015;;11.50%;BS;Övrigt sortiment;0;0;;0;
7113601;1144958;71136;Pouilly-Fumé Vieilles Vignes;Domaine Champeau;229.00;;750.00;305.33;12/10/2016;0;Vitt vin;;;Flaska;;Loiredalen;Frankrike;Domaine Champeau;Boucarou Wine & Dine AB;2014;;12.50%;BS;Övrigt sortiment;0;0;;0;
7193401;1144961;71934;Pouilly-Fumé Silex;Domaine Champeau;220.00;;750.00;293.33;12/10/2016;0;Vitt vin;;;Flaska;;Loiredalen;Frankrike;Domaine Champeau;Boucarou Wine & Dine AB;2014;;12.50%;BS;Övrigt sortiment;0;0;;0;
7053209;1145200;70532;Champagnebubbel;Vintage;1095.00;;2250.00;486.67;12/10/2016;0;Mousserande vin;Vitt Torrt;;3 fl à 750 ml;;Champagne;Frankrike;Flera producenter;Bubbel i Sverige HB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
1500101;1145203;15001;Steenberg;Chardonnay Viognier;79.00;;750.00;105.33;01/12/2016;0;Vitt vin;Friskt & Fruktigt;;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Steenberg;Enjoy Wine & Spirits AB;2016;;13.00%;FS;Ordinarie sortiment;0;0;;0;Chardonnay och viognier.
